Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,Postal_Code,Batch,Delivery Time,Final Area,Final X,Final Y,Stacking Start Height,Stacking Height
steel_67,Q245R(R-HIC),8MKPONK,GB/T 3050-2020,15,2700,5000,F5,2023-01-02,200002,Q1,2023-01-01,1,0,2,41.0,56.0
steel_68,Q235D,OM5MEKI,GB/T 4040-2019,21,4700,7500,F3,2023-01-02,200002,Q1,2023-01-01,4,1,1,52.0,73.0
steel_69,Q235C,MFVA0DI,GB/T 5050-2018,21,2700,7500,F7,2023-01-01,200002,Q1,2023-01-01,5,0,0,0.0,21.0
steel_70,Q245R(R-HIC),KRVFHUF,GB/T 3050-2020,21,2700,7500,F2,2023-01-01,200002,Q1,2023-01-01,0,1,2,23.0,44.0
steel_71,Q345C,5P5OJE5,GB/T 1122-2021,20,4700,7500,F8,2023-01-03,200002,Q1,2023-01-01,0,2,0,18.0,38.0
steel_72,Q345R(R-HIC),X4B4V36,GB/T 1122-2021,15,2700,5000,F4,2023-01-03,200002,Q1,2023-01-01,2,2,1,34.0,49.0
steel_73,Q235D,6CA4ZSB,GB/T 4040-2019,21,2500,7500,F4,2023-01-03,200002,Q1,2023-01-01,2,0,0,54.0,75.0
steel_74,Q345R(R-HIC),FJO3YY7,GB/T 6060-2017,10,2700,11500,F6,2023-01-02,200002,Q1,2023-01-01,4,0,1,0.0,10.0
steel_75,Q345B,3W69200,GB/T 6060-2017,10,2500,11500,F4,2023-01-02,200002,Q1,2023-01-01,4,1,0,20.0,30.0
steel_76,Q235B,O6P1SOD,GB/T 2025-2015,8,4700,7500,F3,2023-01-03,200002,Q1,2023-01-01,1,1,0,21.0,29.0
steel_77,Q235D,RTH5WLX,GB/T 4040-2019,20,2700,11500,F5,2023-01-02,200002,Q1,2023-01-01,3,0,0,20.0,40.0
steel_78,Q345R(R-HIC),IOKUB9A,GB/T 2025-2015,21,2700,7500,F1,2023-01-01,200002,Q1,2023-01-01,5,0,1,43.0,64.0
steel_79,Q245R(R-HIC),8IQWCMR,GB/T 3050-2020,10,2700,7500,F7,2023-01-03,200002,Q1,2023-01-01,0,2,0,38.0,48.0
steel_80,Q245R(R-HIC),KQNQ0LM,GB/T 4040-2019,8,4700,11500,F1,2023-01-01,200002,Q1,2023-01-01,4,1,1,73.0,81.0
steel_81,Q245A,GCRHTSK,GB/T 2025-2015,10,2500,11500,F5,2023-01-01,200002,Q1,2023-01-01,0,0,0,33.0,43.0
steel_82,Q345B,FHYBE1H,GB/T 2025-2015,15,3500,7500,F6,2023-01-03,200002,Q1,2023-01-01,1,0,1,37.0,52.0
steel_83,Q235B,BW645ZG,GB/T 1122-2021,10,4700,11500,F8,2023-01-02,200002,Q1,2023-01-01,1,0,2,56.0,66.0
steel_84,Q235C,KBCEYCI,GB/T 4040-2019,21,4700,5000,F4,2023-01-03,200002,Q1,2023-01-01,5,1,1,36.0,57.0
steel_85,Q235B,MNGEAXH,GB/T 4040-2019,16,2700,13000,F5,2023-01-03,200002,Q1,2023-01-01,4,0,0,86.0,102.0
steel_86,Q245A,3XRVAD6,GB/T 5050-2018,21,2700,7500,F3,2023-01-01,200002,Q1,2023-01-01,1,1,2,0.0,21.0
steel_87,Q345B,B3L02BV,GB/T 2025-2015,18,4700,11500,F1,2023-01-02,200002,Q1,2023-01-01,1,2,0,25.0,43.0
steel_88,Q345B,5USN2VI,GB/T 5050-2018,8,4700,7500,F2,2023-01-01,200002,Q1,2023-01-01,3,1,1,20.0,28.0
steel_89,Q245R(R-HIC),CQMGZVJ,GB/T 3050-2020,16,2700,5000,F2,2023-01-03,200002,Q1,2023-01-01,0,0,0,43.0,59.0
steel_90,Q345B,QK89HAW,GB/T 1122-2021,8,2700,15000,F4,2023-01-03,200002,Q1,2023-01-01,5,0,1,64.0,72.0
steel_91,Q345C,3TJ2JZ4,GB/T 5050-2018,25,4700,5000,F3,2023-01-03,200002,Q1,2023-01-01,1,0,2,66.0,91.0
steel_92,Q245A,LQN79VT,GB/T 1122-2021,16,4700,5000,F4,2023-01-01,200002,Q1,2023-01-01,3,1,1,28.0,44.0
steel_93,Q345B,KQNQ0LM,GB/T 5050-2018,16,4700,7500,F3,2023-01-03,200002,Q1,2023-01-01,3,0,0,40.0,56.0
steel_94,Q235B,8IQWCMR,GB/T 5050-2018,18,2700,7500,F2,2023-01-02,200002,Q1,2023-01-01,4,0,1,10.0,28.0
steel_95,Q345B,3GVSNY9,GB/T 6060-2017,8,2700,11500,F8,2023-01-02,200002,Q1,2023-01-01,5,1,0,68.0,76.0
steel_96,Q245R(R-HIC),TDOT4RG,GB/T 1122-2021,18,2700,5000,F1,2023-01-01,200002,Q1,2023-01-01,5,1,1,57.0,75.0
steel_97,Q245A,7L4C3CK,GB/T 2025-2015,8,2700,5000,F6,2023-01-02,200002,Q1,2023-01-01,3,0,0,56.0,64.0
steel_98,Q245R(R-HIC),3HEYBFO,GB/T 5050-2018,20,3500,5000,F5,2023-01-03,200002,Q1,2023-01-01,2,0,1,36.0,56.0
steel_99,Q345B,4LDID7Q,GB/T 5050-2018,20,2700,7500,F6,2023-01-01,200002,Q1,2023-01-01,0,0,2,0.0,20.0
steel_100,Q245A,P4HCFYR,GB/T 2025-2015,15,3500,7500,F8,2023-01-02,200002,Q1,2023-01-01,4,1,1,81.0,96.0
steel_101,Q235B,O1HPDT0,GB/T 5050-2018,8,2700,11500,F5,2023-01-02,200002,Q1,2023-01-01,3,0,0,64.0,72.0
steel_102,Q235D,7Y5SPMH,GB/T 4040-2019,18,2700,7500,F5,2023-01-02,200002,Q1,2023-01-01,5,0,1,72.0,90.0
steel_103,Q345C,Y4WDXCG,GB/T 2025-2015,16,2700,7500,F2,2023-01-02,200002,Q1,2023-01-01,4,1,0,30.0,46.0
steel_104,Q235C,SGT2BRK,GB/T 1122-2021,18,4700,11500,F3,2023-01-03,200002,Q1,2023-01-01,1,2,1,0.0,18.0
steel_105,Q245A,X89IA6L,GB/T 1122-2021,21,2500,7500,F2,2023-01-03,200002,Q1,2023-01-01,3,0,0,72.0,93.0
steel_106,Q235D,VOV2BEQ,GB/T 5050-2018,25,3500,5000,F4,2023-01-02,200002,Q1,2023-01-01,0,0,1,18.0,43.0
steel_107,Q345R(R-HIC),R3X73GM,GB/T 4040-2019,21,3500,15000,F2,2023-01-01,200002,Q1,2023-01-01,4,1,0,46.0,67.0
steel_108,Q235B,0DR6RNC,GB/T 1122-2021,25,4700,7500,F4,2023-01-03,200002,Q1,2023-01-01,1,1,0,29.0,54.0
steel_109,Q235D,D373K6W,GB/T 1122-2021,8,2700,7500,F8,2023-01-02,200002,Q1,2023-01-01,3,0,0,93.0,101.0
steel_110,Q345C,VHARAWS,GB/T 2025-2015,25,3500,15000,F4,2023-01-03,200002,Q1,2023-01-01,3,0,1,50.0,75.0
steel_111,Q235D,P39KVBM,GB/T 5050-2018,18,2700,5000,F7,2023-01-01,200002,Q1,2023-01-01,0,2,0,48.0,66.0
steel_112,Q245A,9WTGGC8,GB/T 1122-2021,8,3500,17000,F7,2023-01-03,200002,Q1,2023-01-01,2,1,1,41.0,49.0
steel_113,Q345B,VOV2BEQ,GB/T 2025-2015,21,2700,7500,F5,2023-01-01,200002,Q1,2023-01-01,4,0,0,102.0,123.0
steel_114,Q235D,95IQ4Z7,GB/T 5050-2018,8,2700,7500,F1,2023-01-03,200002,Q1,2023-01-01,3,0,1,75.0,83.0
steel_115,Q345R(R-HIC),ZAO3KZP,GB/T 3050-2020,16,2700,7500,F7,2023-01-02,200002,Q1,2023-01-01,0,0,2,20.0,36.0
steel_116,Q245A,3HEYBFO,GB/T 2025-2015,20,3500,5000,F6,2023-01-02,200002,Q1,2023-01-01,5,1,1,75.0,95.0
steel_117,Q235C,AJK6SED,GB/T 5050-2018,18,2700,7500,F1,2023-01-01,200002,Q1,2023-01-01,0,1,1,44.0,62.0
steel_118,Q345R(R-HIC),P39KVBM,GB/T 2025-2015,15,4700,11500,F8,2023-01-01,200002,Q1,2023-01-01,0,1,2,44.0,59.0
steel_119,Q245A,IUIEMCP,GB/T 3050-2020,18,2700,5000,F7,2023-01-03,200002,Q1,2023-01-01,2,2,0,46.0,64.0
steel_120,Q345C,87X4DD2,GB/T 3050-2020,20,4700,7500,F3,2023-01-01,200002,Q1,2023-01-01,4,1,1,96.0,116.0
steel_121,Q235D,4LDID7Q,GB/T 4040-2019,8,2700,7500,F7,2023-01-02,200002,Q1,2023-01-01,2,0,0,75.0,83.0
steel_122,Q235B,F5SGWDY,GB/T 2025-2015,18,2500,5000,F1,2023-01-01,200002,Q1,2023-01-01,2,0,1,56.0,74.0
steel_123,Q245R(R-HIC),7SM6KVU,GB/T 2025-2015,10,3500,11500,F7,2023-01-01,200002,Q1,2023-01-01,5,1,0,76.0,86.0
steel_124,Q345R(R-HIC),KVQZPCW,GB/T 1122-2021,16,3500,17000,F7,2023-01-03,200002,Q1,2023-01-01,5,1,1,95.0,111.0
steel_125,Q345C,02HHPJ6,GB/T 3050-2020,10,4700,5000,F8,2023-01-02,200002,Q1,2023-01-01,3,0,0,101.0,111.0
steel_126,Q245R(R-HIC),VPTJZUD,GB/T 2025-2015,21,2500,7500,F2,2023-01-01,200002,Q1,2023-01-01,1,1,2,21.0,42.0
steel_127,Q345R(R-HIC),NPTQH1M,GB/T 6060-2017,20,2500,13000,F1,2023-01-03,200002,Q1,2023-01-01,1,2,0,43.0,63.0
steel_128,Q245A,BRM0WHW,GB/T 5050-2018,25,4700,7500,F3,2023-01-03,200002,Q1,2023-01-01,5,1,1,111.0,136.0
steel_129,Q245R(R-HIC),RTH5WLX,GB/T 3050-2020,10,4700,5000,F2,2023-01-01,200002,Q1,2023-01-01,5,0,0,21.0,31.0
steel_130,Q345R(R-HIC),VOV2BEQ,GB/T 5050-2018,20,2500,15000,F2,2023-01-01,200002,Q1,2023-01-01,3,0,1,83.0,103.0
steel_131,Q235B,E0QBYRP,GB/T 2025-2015,15,3500,7500,F6,2023-01-03,200002,Q1,2023-01-01,1,0,2,91.0,106.0
steel_132,Q345C,FHYBE1H,GB/T 6060-2017,25,4700,11500,F3,2023-01-01,200002,Q1,2023-01-01,2,2,1,49.0,74.0
steel_133,Q345R(R-HIC),72KYO7Z,GB/T 5050-2018,8,4700,7500,F3,2023-01-03,200002,Q1,2023-01-01,2,0,0,83.0,91.0
steel_134,Q235B,TXMSCFY,GB/T 4040-2019,25,4700,7500,F2,2023-01-03,200002,Q1,2023-01-01,5,0,1,90.0,115.0
steel_135,Q235C,JTJ5X69,GB/T 3050-2020,10,3500,7500,F3,2023-01-01,200002,Q1,2023-01-01,1,2,0,63.0,73.0
steel_136,Q345B,HDAB0E9,GB/T 1122-2021,20,4700,7500,F5,2023-01-03,200002,Q1,2023-01-01,1,2,1,18.0,38.0
steel_137,Q235C,HZXFXX0,GB/T 5050-2018,8,2500,5000,F2,2023-01-01,200002,Q1,2023-01-01,1,0,0,0.0,8.0
steel_138,Q345B,ZX876O0,GB/T 5050-2018,21,2700,15000,F4,2023-01-01,200002,Q1,2023-01-01,1,0,1,52.0,73.0
steel_139,Q245R(R-HIC),SGLV0IX,GB/T 6060-2017,18,3500,7500,F2,2023-01-02,200002,Q1,2023-01-01,0,0,2,36.0,54.0
steel_140,Q235B,6UHG5WG,GB/T 4040-2019,21,2500,5000,F3,2023-01-02,200002,Q1,2023-01-01,5,1,1,136.0,157.0
steel_141,Q235B,3MBJKIE,GB/T 2025-2015,10,4700,7500,F5,2023-01-02,200002,Q1,2023-01-01,3,0,0,111.0,121.0
steel_142,Q235C,0ZUCSUW,GB/T 1122-2021,18,2700,5000,F8,2023-01-01,200002,Q1,2023-01-01,3,0,1,103.0,121.0
steel_143,Q235B,2IX13U8,GB/T 4040-2019,21,2700,5000,F4,2023-01-02,200002,Q1,2023-01-01,1,2,0,73.0,94.0
steel_144,Q245A,EPNG3F3,GB/T 5050-2018,10,3500,7500,F6,2023-01-01,200002,Q1,2023-01-01,2,2,1,74.0,84.0
steel_145,Q235B,8YVXEKN,GB/T 3050-2020,20,2700,11500,F2,2023-01-02,200002,Q1,2023-01-01,4,0,0,123.0,143.0
steel_146,Q235C,18L9LKP,GB/T 6060-2017,20,2700,11500,F7,2023-01-03,200002,Q1,2023-01-01,4,0,1,28.0,48.0
steel_147,Q235D,FA1K4WR,GB/T 6060-2017,8,3500,11500,F3,2023-01-03,200002,Q1,2023-01-01,2,1,0,66.0,74.0
steel_148,Q235D,1KVERUC,GB/T 3050-2020,18,2500,7500,F4,2023-01-03,200002,Q1,2023-01-01,1,1,0,54.0,72.0
steel_149,Q345R(R-HIC),8CZMUEA,GB/T 1122-2021,8,2700,5000,F3,2023-01-02,200002,Q1,2023-01-01,1,1,1,26.0,34.0
steel_150,Q345C,JTJ5X69,GB/T 6060-2017,21,2700,5000,F3,2023-01-02,200002,Q1,2023-01-01,5,0,1,115.0,136.0
steel_151,Q245A,KHPCRI2,GB/T 4040-2019,18,2700,11500,F5,2023-01-01,200002,Q2,2023-04-01,2,0,0,91.0,109.0
steel_152,Q235C,NWI1M3X,GB/T 3050-2020,8,4700,5000,F3,2023-01-02,200002,Q2,2023-04-01,5,1,1,157.0,165.0
steel_153,Q235B,SS5F6F1,GB/T 1122-2021,8,4700,7500,F7,2023-01-02,200002,Q2,2023-04-01,0,0,0,59.0,67.0
steel_154,Q345C,U2AOHRV,GB/T 6060-2017,18,3500,7500,F1,2023-01-02,200002,Q2,2023-04-01,1,0,1,73.0,91.0
steel_155,Q235C,NJZOXYQ,GB/T 1122-2021,21,2500,7500,F4,2023-01-01,200002,Q2,2023-04-01,2,2,0,64.0,85.0
steel_156,Q235D,N74PCTP,GB/T 6060-2017,15,2500,7500,F4,2023-01-02,200002,Q2,2023-04-01,2,2,1,84.0,99.0
steel_157,Q235B,7HYE8DD,GB/T 5050-2018,21,3500,7500,F3,2023-01-01,200002,Q2,2023-04-01,5,0,0,31.0,52.0
steel_158,Q235D,ZE9E4AH,GB/T 4040-2019,15,2500,5000,F7,2023-01-01,200002,Q2,2023-04-01,1,1,2,42.0,57.0
steel_159,Q235C,2FOB0KK,GB/T 4040-2019,18,2500,5000,F2,2023-01-03,200002,Q2,2023-04-01,3,1,0,31.0,49.0
steel_160,Q235D,Q11XWMT,GB/T 2025-2015,16,2700,17000,F7,2023-01-03,200002,Q2,2023-04-01,3,1,1,44.0,60.0
steel_161,Q245R(R-HIC),UILQU2Z,GB/T 5050-2018,16,2700,11500,F6,2023-01-02,200002,Q2,2023-04-01,4,0,0,143.0,159.0
steel_162,Q245R(R-HIC),R7XVLZO,GB/T 5050-2018,18,2700,7500,F6,2023-01-03,200002,Q2,2023-04-01,3,0,1,121.0,139.0
steel_163,Q345C,PVE4CU2,GB/T 6060-2017,16,2700,13000,F5,2023-01-01,200002,Q2,2023-04-01,2,0,0,109.0,125.0
steel_164,Q235C,BTHJIKU,GB/T 1122-2021,10,4700,17000,F2,2023-01-03,200002,Q2,2023-04-01,0,1,0,52.0,62.0
steel_165,Q235D,P4HCFYR,GB/T 1122-2021,10,2500,7500,F5,2023-01-01,200002,Q2,2023-04-01,2,1,0,74.0,84.0
steel_166,Q345R(R-HIC),LJ8ZEUF,GB/T 1122-2021,21,2700,17000,F5,2023-01-02,200002,Q2,2023-04-01,5,0,1,136.0,157.0
steel_167,Q235C,CXWNNG5,GB/T 3050-2020,25,4700,11500,F1,2023-01-01,200002,Q2,2023-04-01,5,1,0,86.0,111.0
steel_168,Q235C,NPTQH1M,GB/T 6060-2017,16,4700,7500,F7,2023-01-01,200002,Q2,2023-04-01,5,1,1,165.0,181.0
steel_169,Q235B,8YCRZ0U,GB/T 6060-2017,16,3500,5000,F3,2023-01-02,200002,Q2,2023-04-01,4,0,0,159.0,175.0
steel_170,Q245A,S1LBNWS,GB/T 3050-2020,25,4700,11500,F8,2023-01-01,200002,Q2,2023-04-01,3,0,1,139.0,164.0
steel_171,Q235B,7ZQ98XH,GB/T 6060-2017,10,2700,7500,F4,2023-01-02,200002,Q2,2023-04-01,5,1,0,111.0,121.0
steel_172,Q345B,0R5F5QR,GB/T 6060-2017,20,2700,5000,F6,2023-01-03,200002,Q2,2023-04-01,3,1,1,60.0,80.0
steel_173,Q345C,I0KAMWH,GB/T 2025-2015,18,3500,5000,F6,2023-01-01,200002,Q2,2023-04-01,2,2,0,85.0,103.0
steel_174,Q235C,B04H2H3,GB/T 6060-2017,18,2500,7500,F2,2023-01-01,200002,Q2,2023-04-01,2,2,1,99.0,117.0
steel_175,Q245A,621MUFR,GB/T 5050-2018,8,4700,5000,F7,2023-01-02,200002,Q2,2023-04-01,1,2,0,94.0,102.0
steel_176,Q345R(R-HIC),DUW3AU4,GB/T 3050-2020,20,4700,11500,F7,2023-01-02,200002,Q2,2023-04-01,5,1,1,181.0,201.0
steel_177,Q345R(R-HIC),KHE3W7A,GB/T 4040-2019,15,3500,5000,F5,2023-01-01,200002,Q2,2023-04-01,3,0,0,121.0,136.0
steel_178,Q245R(R-HIC),VHARAWS,GB/T 3050-2020,8,2700,7500,F2,2023-01-03,200002,Q2,2023-04-01,0,0,1,43.0,51.0
steel_179,Q345C,CQMGZVJ,GB/T 5050-2018,16,2700,5000,F2,2023-01-02,200002,Q2,2023-04-01,3,1,0,49.0,65.0
steel_180,Q345R(R-HIC),9E3B5FE,GB/T 5050-2018,15,2700,7500,F6,2023-01-03,200002,Q2,2023-04-01,5,1,1,201.0,216.0
