Filename,Material,Furnace,Standard,Thickness,Width,Length,Material_Code,Entry Time,Postal_Code,Batch,Delivery Time,宽度,长度,Final Area,Final X,Final Y,Stacking Start Height,Stacking Height
steel_39,Q235B,JGW5Z76,GB/T 3050-2020,20,2500,5000,F8,2023-01-03,500005,Q6,2023-10-01,2500,5000,0,2,0,0.0,20.0
steel_40,Q345B,9E3B5FE,GB/T 4040-2019,15,2500,5000,F7,2023-01-01,500005,Q6,2023-10-01,2500,5000,2,1,1,30.0,45.0
steel_41,Q345B,DIKDCW1,GB/T 3050-2020,18,2500,5000,F7,2023-01-02,500005,Q12,2023-07-01,2500,5000,0,0,0,34.0,52.0
steel_42,Q235C,Q0CYXUI,GB/T 1122-2021,16,2500,5000,F2,2023-01-01,300003,Q11,2023-07-01,2500,5000,5,0,1,101.0,117.0
steel_43,Q235D,8MKPONK,GB/T 3050-2020,8,2500,5000,F7,2023-01-01,500005,Q9,2023-04-01,2500,5000,2,0,0,16.0,24.0
steel_44,Q245A,4K4TR0M,GB/T 3050-2020,16,2500,5000,F2,2023-01-02,200002,Q1,2023-01-01,2500,5000,5,1,1,31.0,47.0
steel_45,Q345C,2IX13U8,GB/T 5050-2018,8,2500,5000,F5,2023-01-02,200002,Q1,2023-01-01,2500,5000,4,0,0,0.0,8.0
steel_46,Q345C,0QN1TJ2,GB/T 3050-2020,16,2500,5000,F2,2023-01-02,300003,Q2,2023-01-01,2500,5000,5,0,1,117.0,133.0
steel_47,Q245A,3TJ2JZ4,GB/T 3050-2020,18,2500,5000,F5,2023-01-03,200002,Q4,2023-10-01,2500,5000,3,1,0,8.0,26.0
steel_48,Q235C,9W9W7HZ,GB/T 6060-2017,18,2500,5000,F1,2023-01-01,300003,Q11,2023-07-01,2500,5000,2,2,1,0.0,18.0
steel_49,Q245R(R-HIC),4VKBN6F,GB/T 1122-2021,20,2500,5000,F6,2023-01-02,200002,Q7,2023-04-01,2500,5000,3,0,0,33.0,53.0
steel_50,Q245R(R-HIC),YQF68EE,GB/T 5050-2018,8,2500,5000,F1,2023-01-01,200002,Q1,2023-01-01,2500,5000,0,0,1,21.0,29.0
steel_51,Q235C,Y919H41,GB/T 6060-2017,20,2500,5000,F8,2023-01-03,200002,Q1,2023-01-01,2500,5000,0,0,2,15.0,35.0
steel_52,Q245R(R-HIC),7HYE8DD,GB/T 2025-2015,15,2500,5000,F6,2023-01-03,300003,Q5,2023-10-01,2500,5000,4,1,1,16.0,31.0
steel_53,Q345B,7ZQ98XH,GB/T 1122-2021,16,2500,5000,F4,2023-01-02,300003,Q11,2023-07-01,2500,5000,0,1,1,0.0,16.0
steel_54,Q345C,NM4OMFX,GB/T 1122-2021,21,2500,5000,F8,2023-01-02,500005,Q12,2023-07-01,2500,5000,0,1,2,0.0,21.0
steel_55,Q235C,CCY29L2,GB/T 2025-2015,8,2500,5000,F3,2023-01-01,300003,Q11,2023-07-01,2500,5000,5,1,0,15.0,23.0
steel_56,Q345C,VO1MDOE,GB/T 3050-2020,18,2500,5000,F1,2023-01-02,200002,Q4,2023-10-01,2500,5000,1,2,1,18.0,36.0
steel_57,Q245A,K5POY1K,GB/T 6060-2017,18,2500,5000,F7,2023-01-01,200002,Q7,2023-04-01,2500,5000,5,0,0,54.0,72.0
steel_58,Q235B,LQN79VT,GB/T 4040-2019,16,2500,5000,F1,2023-01-02,300003,Q11,2023-07-01,2500,5000,1,0,1,0.0,16.0
steel_59,Q345B,H60UCIF,GB/T 5050-2018,10,2500,5000,F7,2023-01-01,300003,Q11,2023-07-01,2500,5000,5,1,0,23.0,33.0
steel_60,Q345R(R-HIC),8RXJ5IT,GB/T 4040-2019,10,2500,5000,F6,2023-01-01,300003,Q2,2023-01-01,2500,5000,3,1,1,18.0,28.0
steel_61,Q345B,3GVSNY9,GB/T 2025-2015,25,2500,5000,F3,2023-01-01,500005,Q3,2023-01-01,2500,5000,1,1,1,16.0,41.0
steel_62,Q235C,QKLWHZ9,GB/T 1122-2021,16,2500,5000,F6,2023-01-01,200002,Q10,2023-07-01,2500,5000,2,0,1,44.0,60.0
steel_63,Q345R(R-HIC),QK89HAW,GB/T 1122-2021,15,2500,5000,F3,2023-01-03,500005,Q3,2023-01-01,2500,5000,5,1,0,33.0,48.0
steel_64,Q235B,9W9W7HZ,GB/T 5050-2018,16,2500,5000,F1,2023-01-01,500005,Q9,2023-04-01,2500,5000,4,1,1,31.0,47.0
steel_65,Q235C,VANO5B8,GB/T 1122-2021,20,2500,5000,F7,2023-01-02,200002,Q7,2023-04-01,2500,5000,2,2,0,25.0,45.0
steel_66,Q235D,CWGB0TK,GB/T 1122-2021,8,2500,5000,F6,2023-01-03,200002,Q4,2023-10-01,2500,5000,3,0,1,0.0,8.0
steel_67,Q345C,QRL62Q2,GB/T 5050-2018,16,2500,5000,F3,2023-01-03,300003,Q8,2023-04-01,2500,5000,0,0,2,35.0,51.0
steel_68,Q235B,4QD4SBI,GB/T 6060-2017,18,2500,5000,F2,2023-01-01,300003,Q11,2023-07-01,2500,5000,2,0,1,60.0,78.0
steel_69,Q345C,TDZF6LU,GB/T 6060-2017,25,2500,5000,F8,2023-01-03,500005,Q9,2023-04-01,2500,5000,3,0,0,53.0,78.0
steel_70,Q245R(R-HIC),ZQZSZKV,GB/T 5050-2018,10,2500,5000,F8,2023-01-01,300003,Q8,2023-04-01,2500,5000,3,0,1,8.0,18.0
steel_71,Q235D,9KO3JBE,GB/T 2025-2015,15,2500,5000,F6,2023-01-02,300003,Q11,2023-07-01,2500,5000,0,2,0,20.0,35.0
steel_72,Q235D,6WDQ0K6,GB/T 1122-2021,15,2500,5000,F7,2023-01-01,200002,Q4,2023-10-01,2500,5000,1,2,1,36.0,51.0
steel_73,Q235B,HPMHZJ4,GB/T 1122-2021,18,2500,5000,F2,2023-01-03,200002,Q1,2023-01-01,2500,5000,2,0,0,24.0,42.0
steel_74,Q235D,DUW3AU4,GB/T 2025-2015,15,2500,5000,F6,2023-01-02,300003,Q8,2023-04-01,2500,5000,2,0,1,78.0,93.0
steel_75,Q345R(R-HIC),EGZ369S,GB/T 6060-2017,18,2500,5000,F1,2023-01-01,200002,Q7,2023-04-01,2500,5000,3,1,0,26.0,44.0
steel_76,Q235D,A2JOJE7,GB/T 3050-2020,21,2500,5000,F3,2023-01-02,300003,Q8,2023-04-01,2500,5000,2,1,1,45.0,66.0
steel_77,Q345C,7HYE8DD,GB/T 3050-2020,20,2500,5000,F5,2023-01-02,200002,Q10,2023-07-01,2500,5000,3,0,0,78.0,98.0
steel_78,Q345C,3KX4URW,GB/T 3050-2020,16,2500,5000,F1,2023-01-03,200002,Q10,2023-07-01,2500,5000,5,0,1,133.0,149.0
steel_79,Q235C,621MUFR,GB/T 6060-2017,21,2500,5000,F8,2023-01-02,200002,Q4,2023-10-01,2500,5000,3,1,0,44.0,65.0
steel_80,Q345C,SGT2BRK,GB/T 6060-2017,18,2500,5000,F3,2023-01-03,200002,Q7,2023-04-01,2500,5000,4,1,1,47.0,65.0
steel_81,Q235C,BTCXT0R,GB/T 2025-2015,18,2500,5000,F6,2023-01-02,300003,Q2,2023-01-01,2500,5000,0,0,0,52.0,70.0
steel_82,Q345C,04IDY93,GB/T 1122-2021,8,2500,5000,F1,2023-01-01,500005,Q6,2023-10-01,2500,5000,1,0,1,16.0,24.0
steel_83,Q345R(R-HIC),VOV2BEQ,GB/T 2025-2015,25,2500,5000,F4,2023-01-02,200002,Q1,2023-01-01,2500,5000,0,0,2,51.0,76.0
steel_84,Q245A,B04H2H3,GB/T 2025-2015,8,2500,5000,F5,2023-01-01,300003,Q11,2023-07-01,2500,5000,0,1,0,0.0,8.0
steel_85,Q235C,SNAUE12,GB/T 6060-2017,10,2500,5000,F7,2023-01-01,300003,Q8,2023-04-01,2500,5000,2,0,0,42.0,52.0
steel_86,Q345B,2IX13U8,GB/T 3050-2020,8,2500,5000,F2,2023-01-02,200002,Q10,2023-07-01,2500,5000,4,0,1,0.0,8.0
steel_87,Q245R(R-HIC),IOKUB9A,GB/T 4040-2019,20,2500,5000,F2,2023-01-01,500005,Q6,2023-10-01,2500,5000,3,1,0,65.0,85.0
steel_88,Q235B,D373K6W,GB/T 1122-2021,10,2500,5000,F7,2023-01-02,200002,Q10,2023-07-01,2500,5000,1,2,1,51.0,61.0
steel_89,Q345C,6EWJ7IU,GB/T 6060-2017,10,2500,5000,F4,2023-01-02,300003,Q8,2023-04-01,2500,5000,4,0,0,8.0,18.0
steel_90,Q235D,CWGB0TK,GB/T 3050-2020,8,2500,5000,F8,2023-01-01,500005,Q6,2023-10-01,2500,5000,4,0,1,8.0,16.0
steel_91,Q245A,3XRVAD6,GB/T 4040-2019,8,2500,5000,F3,2023-01-01,300003,Q5,2023-10-01,2500,5000,1,0,2,37.0,45.0
steel_92,Q345C,B94WQ6E,GB/T 4040-2019,18,2500,5000,F7,2023-01-03,200002,Q1,2023-01-01,2500,5000,3,1,1,28.0,46.0
steel_93,Q235D,MNGEAXH,GB/T 6060-2017,20,2500,5000,F4,2023-01-01,500005,Q3,2023-01-01,2500,5000,4,0,0,18.0,38.0
steel_94,Q245R(R-HIC),S1LBNWS,GB/T 5050-2018,16,2500,5000,F6,2023-01-03,300003,Q5,2023-10-01,2500,5000,4,0,1,16.0,32.0
steel_95,Q245R(R-HIC),5BQX6VN,GB/T 1122-2021,16,2500,5000,F5,2023-01-01,300003,Q11,2023-07-01,2500,5000,4,1,0,10.0,26.0
steel_96,Q245R(R-HIC),KBCEYCI,GB/T 4040-2019,20,2500,5000,F2,2023-01-02,300003,Q11,2023-07-01,2500,5000,3,1,1,46.0,66.0
steel_97,Q235D,VEC3GU5,GB/T 6060-2017,8,2500,5000,F5,2023-01-01,200002,Q4,2023-10-01,2500,5000,3,0,0,98.0,106.0
steel_98,Q345C,95RCE0K,GB/T 6060-2017,15,2500,5000,F4,2023-01-02,500005,Q9,2023-04-01,2500,5000,5,0,1,149.0,164.0
steel_99,Q245R(R-HIC),Z2OJP25,GB/T 3050-2020,25,2500,5000,F5,2023-01-02,200002,Q4,2023-10-01,2500,5000,3,1,0,85.0,110.0
steel_100,Q345R(R-HIC),CTHO4QT,GB/T 5050-2018,18,2500,5000,F8,2023-01-02,200002,Q10,2023-07-01,2500,5000,3,1,1,66.0,84.0
steel_101,Q235C,0ZUCSUW,GB/T 1122-2021,10,2500,5000,F8,2023-01-03,200002,Q4,2023-10-01,2500,5000,5,0,0,72.0,82.0
steel_102,Q235D,6P33R3B,GB/T 2025-2015,18,2500,5000,F1,2023-01-01,500005,Q9,2023-04-01,2500,5000,4,0,1,32.0,50.0
steel_103,Q235D,4VKBN6F,GB/T 3050-2020,15,2500,5000,F7,2023-01-02,200002,Q1,2023-01-01,2500,5000,0,2,0,35.0,50.0
steel_104,Q345C,ZAO3KZP,GB/T 4040-2019,18,2500,5000,F1,2023-01-02,200002,Q1,2023-01-01,2500,5000,4,1,1,65.0,83.0
steel_105,Q235D,YHR7IB4,GB/T 4040-2019,8,2500,5000,F5,2023-01-03,200002,Q1,2023-01-01,2500,5000,3,0,0,106.0,114.0
steel_106,Q235D,95IQ4Z7,GB/T 3050-2020,8,2500,5000,F2,2023-01-01,200002,Q4,2023-10-01,2500,5000,3,0,1,18.0,26.0
steel_107,Q245R(R-HIC),Z2OJP25,GB/T 6060-2017,8,2500,5000,F4,2023-01-01,300003,Q2,2023-01-01,2500,5000,0,0,2,76.0,84.0
steel_108,Q345C,4K4TR0M,GB/T 4040-2019,25,2500,5000,F3,2023-01-03,200002,Q10,2023-07-01,2500,5000,1,1,0,18.0,43.0
steel_109,Q245R(R-HIC),UILQU2Z,GB/T 5050-2018,20,2500,5000,F5,2023-01-03,300003,Q2,2023-01-01,2500,5000,3,0,0,114.0,134.0
steel_110,Q235C,5FRBI23,GB/T 1122-2021,10,2500,5000,F3,2023-01-01,200002,Q10,2023-07-01,2500,5000,2,0,1,93.0,103.0
steel_111,Q245A,C88GXCR,GB/T 5050-2018,10,2500,5000,F8,2023-01-03,500005,Q3,2023-01-01,2500,5000,2,1,0,37.0,47.0
steel_112,Q235C,9KO3JBE,GB/T 4040-2019,20,2500,5000,F3,2023-01-01,300003,Q2,2023-01-01,2500,5000,4,1,1,83.0,103.0
steel_113,Q245A,OLSFJE7,GB/T 2025-2015,10,2500,5000,F3,2023-01-01,300003,Q2,2023-01-01,2500,5000,0,0,0,70.0,80.0
steel_114,Q245R(R-HIC),91N3B13,GB/T 1122-2021,10,2500,5000,F2,2023-01-02,300003,Q11,2023-07-01,2500,5000,5,0,1,164.0,174.0
steel_115,Q235C,UILQU2Z,GB/T 1122-2021,25,2500,5000,F3,2023-01-02,300003,Q8,2023-04-01,2500,5000,1,0,2,45.0,70.0
steel_116,Q345C,OM5MEKI,GB/T 3050-2020,10,2500,5000,F5,2023-01-01,500005,Q3,2023-01-01,2500,5000,4,1,1,103.0,113.0
steel_117,Q235B,QNA9F82,GB/T 3050-2020,20,2500,5000,F4,2023-01-01,200002,Q7,2023-04-01,2500,5000,4,0,0,38.0,58.0
steel_118,Q245R(R-HIC),91N3B13,GB/T 2025-2015,25,2500,5000,F3,2023-01-01,300003,Q11,2023-07-01,2500,5000,4,0,1,50.0,75.0
steel_119,Q245A,9TIL02C,GB/T 6060-2017,15,2500,5000,F6,2023-01-01,500005,Q12,2023-07-01,2500,5000,5,1,0,48.0,63.0
steel_120,Q345R(R-HIC),5P5OJE5,GB/T 1122-2021,8,2500,5000,F3,2023-01-01,300003,Q8,2023-04-01,2500,5000,1,2,1,61.0,69.0
steel_121,Q245A,R7XVLZO,GB/T 2025-2015,10,2500,5000,F3,2023-01-01,200002,Q10,2023-07-01,2500,5000,3,0,0,134.0,144.0
steel_122,Q345R(R-HIC),SGLV0IX,GB/T 3050-2020,21,2500,5000,F1,2023-01-03,300003,Q8,2023-04-01,2500,5000,4,0,1,75.0,96.0
steel_123,Q235D,4VKBN6F,GB/T 3050-2020,21,2500,5000,F4,2023-01-01,500005,Q3,2023-01-01,2500,5000,3,1,0,110.0,131.0
steel_124,Q235C,RA9VXLL,GB/T 1122-2021,21,2500,5000,F5,2023-01-03,200002,Q1,2023-01-01,2500,5000,1,1,0,43.0,64.0
steel_125,Q345R(R-HIC),8YCRZ0U,GB/T 5050-2018,8,2500,5000,F8,2023-01-03,500005,Q3,2023-01-01,2500,5000,5,0,0,82.0,90.0
steel_126,Q245A,UZW1FL1,GB/T 4040-2019,21,2500,5000,F1,2023-01-01,200002,Q10,2023-07-01,2500,5000,2,2,1,18.0,39.0
steel_127,Q235D,IUIEMCP,GB/T 3050-2020,25,2500,5000,F5,2023-01-01,200002,Q7,2023-04-01,2500,5000,3,1,0,131.0,156.0
steel_128,Q235B,Q4IJWB6,GB/T 6060-2017,18,2500,5000,F7,2023-01-03,200002,Q4,2023-10-01,2500,5000,5,1,1,47.0,65.0
steel_129,Q345C,Z2JJXFC,GB/T 6060-2017,25,2500,5000,F4,2023-01-03,300003,Q8,2023-04-01,2500,5000,0,0,0,80.0,105.0
steel_130,Q345C,PGMZI45,GB/T 3050-2020,21,2500,5000,F6,2023-01-01,500005,Q3,2023-01-01,2500,5000,5,0,1,174.0,195.0
steel_131,Q345C,VEC3GU5,GB/T 5050-2018,20,2500,5000,F4,2023-01-01,500005,Q9,2023-04-01,2500,5000,2,2,0,45.0,65.0
steel_132,Q345R(R-HIC),FA1K4WR,GB/T 5050-2018,18,2500,5000,F7,2023-01-03,500005,Q6,2023-10-01,2500,5000,1,1,0,64.0,82.0
steel_133,Q235B,MYEHRT3,GB/T 2025-2015,15,2500,5000,F7,2023-01-03,200002,Q4,2023-10-01,2500,5000,3,0,0,144.0,159.0
steel_134,Q345R(R-HIC),3HEYBFO,GB/T 6060-2017,10,2500,5000,F7,2023-01-03,300003,Q11,2023-07-01,2500,5000,1,1,2,15.0,25.0
steel_135,Q235C,SLFOJTB,GB/T 2025-2015,18,2500,5000,F2,2023-01-02,200002,Q1,2023-01-01,2500,5000,2,1,0,47.0,65.0
steel_136,Q345R(R-HIC),04IDY93,GB/T 6060-2017,15,2500,5000,F8,2023-01-03,500005,Q12,2023-07-01,2500,5000,4,1,1,113.0,128.0
steel_137,Q235B,NWI1M3X,GB/T 4040-2019,21,2500,5000,F3,2023-01-02,300003,Q8,2023-04-01,2500,5000,0,0,0,105.0,126.0
steel_138,Q235B,0R5F5QR,GB/T 4040-2019,25,2500,5000,F4,2023-01-01,300003,Q5,2023-10-01,2500,5000,4,0,1,96.0,121.0
steel_139,Q235C,OM5MEKI,GB/T 1122-2021,20,2500,5000,F5,2023-01-01,300003,Q2,2023-01-01,2500,5000,3,1,0,156.0,176.0
steel_140,Q235B,C9ZB19I,GB/T 2025-2015,8,2500,5000,F2,2023-01-03,500005,Q9,2023-04-01,2500,5000,3,1,1,84.0,92.0
steel_141,Q245A,C88GXCR,GB/T 3050-2020,15,2500,5000,F5,2023-01-01,300003,Q2,2023-01-01,2500,5000,5,0,0,90.0,105.0
steel_142,Q235B,6X5GTA2,GB/T 2025-2015,8,2500,5000,F3,2023-01-01,300003,Q11,2023-07-01,2500,5000,1,1,2,25.0,33.0
steel_143,Q345C,C88GXCR,GB/T 3050-2020,20,2500,5000,F3,2023-01-01,200002,Q1,2023-01-01,2500,5000,4,1,0,26.0,46.0
steel_144,Q245A,5P5OJE5,GB/T 5050-2018,21,2500,5000,F6,2023-01-01,200002,Q7,2023-04-01,2500,5000,5,1,1,65.0,86.0
steel_145,Q245A,D258TC6,GB/T 2025-2015,25,2500,5000,F7,2023-01-02,300003,Q11,2023-07-01,2500,5000,0,0,0,126.0,151.0
steel_146,Q235C,G538PC9,GB/T 5050-2018,16,2500,5000,F8,2023-01-02,300003,Q11,2023-07-01,2500,5000,3,0,1,26.0,42.0
steel_147,Q345B,7Y5SPMH,GB/T 4040-2019,25,2500,5000,F6,2023-01-03,200002,Q7,2023-04-01,2500,5000,3,1,0,176.0,201.0
steel_148,Q345B,SS5F6F1,GB/T 4040-2019,25,2500,5000,F1,2023-01-03,200002,Q10,2023-07-01,2500,5000,5,1,1,86.0,111.0
steel_149,Q235B,1K5BJFG,GB/T 1122-2021,15,2500,5000,F2,2023-01-03,200002,Q10,2023-07-01,2500,5000,2,2,0,65.0,80.0
steel_150,Q245A,DIKE2AD,GB/T 2025-2015,21,2500,5000,F2,2023-01-01,500005,Q12,2023-07-01,2500,5000,0,1,2,21.0,42.0
steel_151,Q345B,VEC3GU5,GB/T 5050-2018,15,2500,5000,F8,2023-01-01,500005,Q6,2023-10-01,2500,5000,2,0,0,52.0,67.0
steel_152,Q345B,0MVYTA0,GB/T 3050-2020,15,2500,5000,F3,2023-01-02,200002,Q1,2023-01-01,2500,5000,5,1,1,111.0,126.0
steel_153,Q235B,J6RT5EK,GB/T 4040-2019,20,2500,5000,F5,2023-01-02,300003,Q11,2023-07-01,2500,5000,5,0,0,105.0,125.0
steel_154,Q345B,QWEFIIX,GB/T 4040-2019,15,2500,5000,F2,2023-01-03,200002,Q10,2023-07-01,2500,5000,0,0,1,29.0,44.0
steel_155,Q345R(R-HIC),ZXN6F8S,GB/T 3050-2020,20,2500,5000,F8,2023-01-02,500005,Q6,2023-10-01,2500,5000,3,1,0,201.0,221.0
steel_156,Q235D,SECBIFE,GB/T 5050-2018,18,2500,5000,F2,2023-01-02,300003,Q5,2023-10-01,2500,5000,0,1,0,8.0,26.0
steel_157,Q235C,OYJ1KIP,GB/T 5050-2018,18,2500,5000,F2,2023-01-02,500005,Q3,2023-01-01,2500,5000,4,0,0,58.0,76.0
steel_158,Q235D,H60UCIF,GB/T 2025-2015,16,2500,5000,F7,2023-01-02,300003,Q5,2023-10-01,2500,5000,4,0,1,121.0,137.0
steel_159,Q235B,D258TC6,GB/T 2025-2015,18,2500,5000,F1,2023-01-02,500005,Q9,2023-04-01,2500,5000,1,2,0,21.0,39.0
steel_160,Q345C,NXITJH4,GB/T 6060-2017,18,2500,5000,F7,2023-01-03,300003,Q11,2023-07-01,2500,5000,2,1,1,66.0,84.0
steel_161,Q235C,DF8AJZJ,GB/T 6060-2017,18,2500,5000,F1,2023-01-03,300003,Q11,2023-07-01,2500,5000,4,0,0,76.0,94.0
steel_162,Q235B,Z54FGX4,GB/T 1122-2021,16,2500,5000,F2,2023-01-02,300003,Q2,2023-01-01,2500,5000,4,0,1,137.0,153.0
steel_163,Q245A,O2X92JX,GB/T 4040-2019,8,2500,5000,F6,2023-01-03,300003,Q5,2023-10-01,2500,5000,3,1,0,221.0,229.0
steel_164,Q345C,95RCE0K,GB/T 2025-2015,18,2500,5000,F5,2023-01-01,500005,Q9,2023-04-01,2500,5000,2,0,1,103.0,121.0
steel_165,Q235D,RA9VXLL,GB/T 5050-2018,10,2500,5000,F3,2023-01-02,500005,Q3,2023-01-01,2500,5000,1,1,1,41.0,51.0
steel_166,Q235B,NWI1M3X,GB/T 3050-2020,20,2500,5000,F2,2023-01-01,300003,Q5,2023-10-01,2500,5000,2,1,1,84.0,104.0
steel_167,Q245A,RUB4SJD,GB/T 5050-2018,20,2500,5000,F1,2023-01-03,300003,Q8,2023-04-01,2500,5000,3,1,0,229.0,249.0
steel_168,Q235C,SS5F6F1,GB/T 4040-2019,16,2500,5000,F1,2023-01-03,500005,Q6,2023-10-01,2500,5000,1,2,1,69.0,85.0
